E5He(0+_0),E5He(1+_0),E5He(1+_1),E5He(2+_0),E5He(2+_1),E5He(3+_0),E5He(3/2-_0),E5Li(0+_0),E5Li(1+_0),E5Li(1+_1),E5Li(2+_0),E5Li(2+_1),E5Li(3+_0),E5Li(3/2-_0),E6Be(0+_0),E6Be(1+_0),E6Be(1+_1),E6Be(2+_0),E6Be(2+_1),E6Be(3+_0),E6Be(3/2-_0),E6He(0+_0),E6He(1+_0),E6He(1+_1),E6He(2+_0),E6He(2+_1),E6He(3+_0),E6He(3/2-_0),E6Li(0+_0),E6Li(1+_0),E6Li(1+_1),E6Li(2+_0),E6Li(2+_1),E6Li(3+_0),E6Li(3/2-_0),G5He(0+_0),G5He(1+_0),G5He(1+_1),G5He(2+_0),G5He(2+_1),G5He(3+_0),G5He(3/2-_0),G5Li(0+_0),G5Li(1+_0),G5Li(1+_1),G5Li(2+_0),G5Li(2+_1),G5Li(3+_0),G5Li(3/2-_0),G6Be(0+_0),G6Be(1+_0),G6Be(1+_1),G6Be(2+_0),G6Be(2+_1),G6Be(3+_0),G6Be(3/2-_0),G6He(0+_0),G6He(1+_0),G6He(1+_1),G6He(2+_0),G6He(2+_1),G6He(3+_0),G6He(3/2-_0),G6Li(0+_0),G6Li(1+_0),G6Li(1+_1),G6Li(2+_0),G6Li(2+_1),G6Li(3+_0),G6Li(3/2-_0)
,,,,,,820.057121536223,,,,,,,1524.4471903768099,147.61459506688098,,,2475.02853780568,,,,-1966.36260666609,,,803.2241453389561,,,,-1133.93576398403,-1788.29956411592,4022.3564077425904,1484.8508449360002,2607.53122281029,-798.4284394126679,,,,,,,,744.402323444636,,,,,,,1193.2944360398162,0.000377761649751456,,,628.47225961816,,,,-1.713250550989708e-05,,,64.6111610001646,,,,0.011888441494028,0.027883599874935203,9285.90455396466,243.092859452748,1543.115364393088,8.88495821261176e-06,
,,,,,,399.768710322107,,,,,,,1849.49502028958,1405.3559141549401,,,3290.3092310833604,,,,-2925.92298948668,,,-126.23651536722899,,,,-929.028412946806,-1864.30381527272,2690.35832335932,1386.72137562824,2503.5413075515003,-807.342418610765,,,,,,,,249.345045931688,,,,,,,1749.101065706856,15.06982919578152,,,1466.913264501642,,,,-1.684976987248164e-05,,,-1.360274620263426e-05,,,,0.00987897471190528,0.0249338116760178,4905.54850848178,434.37961567801,1572.811545482484,8.033839672117361e-06,
,,,,,,507.86886578805803,,,,,,,1581.1095242197798,-20.273116384439902,,,2498.7490296173396,,,,-3326.75407370033,,,-91.9306669266386,,,,-1896.20428866501,-2133.22632903776,3286.16520138443,1042.13013067436,2336.4839811358297,-1139.7197815831498,,,,,,,,354.89375707977797,,,,,,,1277.768931106964,0.000424838353486904,,,587.27982316342,,,,-2.1231255719851e-05,,,-6.79560136362706e-06,,,,0.01403054525139952,0.0278981130956992,6079.412766021141,116.3002071398722,1300.088715165856,9.38190139934024e-06,
,,,,,,750.45751691792,,,,,,,1691.6726196128,945.547964815064,,,2925.89002587774,,,,-1940.5081125688,,,696.9322803324201,,,,-695.467054492064,-1650.15127309905,8274.98645880245,1642.79786480959,2683.52428060802,-666.809138401439,,,,,,,,636.824296418682,,,,,,,1468.712268546906,1.24464408990462,,,1070.9231944128842,,,,-1.5318486313288462e-05,,,43.5666213511368,,,,0.01025970092339562,0.026792300952322,12602.07085707222,394.150309350746,1666.627985141388,8.66960973199408e-06,
,,,,,,684.7957717099459,,,,,,,1582.20726074193,111.127915897731,,,2542.7742295029902,,,,-2288.1562682070503,,,548.7160263155511,,,,-1316.64944004378,-1775.00344946007,2616.11962124995,1378.93546636102,2520.36482906744,-716.4537206976889,,,,,,,,597.416916292206,,,,,,,1261.298564279226,0.0003848127207733,,,640.324250312388,,,,-1.88583634284851e-05,,,20.160912616747,,,,0.01240433874937754,0.02600905898685,4892.20112916418,220.688124547004,1409.09842234771,8.6325537184955e-06,
,,,,,,950.748337135647,,,,,,,1372.62212324246,-211.69245768324498,,,2150.7513938976103,,,,-1140.5544234520598,,,1210.2214873693101,,,,-904.639338834977,-1902.32196758971,3986.7205697766003,1532.30883735914,2605.41895782809,-1011.1815761378699,,,,,,,,962.823803672674,,,,,,,924.901865140112,0.000328523303691622,,,406.13758545704997,,,,-1.4173569553674781e-05,,,257.515366779194,,,,0.01022435346528884,0.027376868155922197,6898.5772952157995,253.459504664736,1618.129426707272,7.20169601801498e-06,
,,,,,,506.09805048200593,,,,,,,1573.04714223613,1151.0103043306299,,,2802.14934379685,,,,-1893.12280040343,,,359.12259629458896,,,,-564.101839593583,-2199.79327080671,2689.04649825385,2282.47468709799,1405.8681762234698,-1099.17540560163,,,,,,,,358.179827927882,,,,,,,1257.562213842772,5.80310912964044,,,1062.755722734502,,,,-1.16919525464693e-05,,,6.56689953247306,,,,0.00756682815534536,0.028063016127851198,4621.03659278028,1134.950982797196,371.27946130086195,9.35615984533066e-06,
,,,,,,683.853380781782,,,,,,,1474.69083362804,914.1537058737999,,,2605.13737306493,,,,-1418.3921865939599,,,755.306148921763,,,,-451.219271075039,-2008.21700424672,2641.12639859275,2364.15519927129,2364.15519944207,-886.462785903507,,,,,,,,571.795759477576,,,,,,,1160.376764261488,1.4136761732601542,,,916.372768431578,,,,-1.107534372278664e-05,,,85.88045908435619,,,,0.00818295306167484,0.0296442034976112,4736.1819323747595,1253.442525672322,1253.442525744646,1.013033270259572e-05,
,,,,,,638.591087681861,,,,,,,1755.5922930741701,2101.4545061821,,,3361.56230773886,,,,-809.369935552471,,,819.399168245455,,,,506.25426917359795,-1689.49782229883,3976.68435948961,2677.0150590764,1918.8043515126801,-659.445618477539,,,,,,,,520.038140493476,,,,,,,1565.845351018606,203.436878979666,,,1877.2460694403642,,,,-8.56642961880914e-06,,,153.7769584105838,,,,1.58520948097528,0.024096975145381398,6630.5304635311395,1621.832782064084,827.414895495064,8.444697940175501e-06,
,,,,,,814.58384402977,,,,,,,1952.37764849733,1854.54120055297,,,3587.3988082313,,,,-1474.38113060845,,,910.919118726144,,,,45.8563908126457,-1099.35844429387,4556.79279027273,2063.63503645796,2979.86223082959,-28.0754188659207,,,,,,,,736.3076854423019,,,,,,,1973.1550680257822,76.1195210869956,,,1909.197212847944,,,,-1.385163923952014e-05,,,115.62490183659541,,,,0.008410220384182519,0.023690399860645,7217.610827914639,787.0238612027019,2059.13083607104,8.06050263461038e-06,
