$GSM_CPUS,$GSM_NODES,$L1_dn,$L1_dp,$L1_r0n,$L1_r0p,$L1_v0n,$L1_v0p,$L1_vson,$L1_vsop,$Vc00,$Vc01,$Vc10,$Vt10
8,4,0.6088630389235875,0.6466903409561421,2.1520981207603422,2.064477993119674,39.192032915994616,42.1522836251453,10.841406717171294,11.164759485817292,-9.088475747370516,-10.592378458779965,-8.354260710872339,-22.296975704089295
8,4,0.6626219641629061,0.638293982111037,2.192814685121852,2.0208256087055676,39.61023467023396,41.96023564917407,10.963257971850386,10.76353713548709,-8.786491880197426,-9.990900464867508,-8.236520519702388,-22.552728173649804
8,4,0.6381477036091141,0.6407260185136834,2.1815982057639123,2.0680364121206023,39.55690433650902,42.25681395696544,11.170252397107777,10.505260656012252,-8.856423091401192,-11.124809463982126,-8.231676842110097,-21.776638554932212
8,4,0.598671606482271,0.6419810620614321,2.162308286650728,2.0520532475195217,39.55521754587128,41.924273047236404,10.829157187021693,10.622283046116378,-8.788786919518367,-10.027711047226282,-8.31963935478635,-21.196370206468337
8,4,0.6821170971014214,0.6352306538131214,2.126846928673189,2.0459598045237515,39.43293258401802,42.63862251727573,10.74589717110987,11.396922707988294,-8.630226111357599,-10.850588747443618,-8.264578774394627,-22.87530124298114
8,4,0.621276397257129,0.6080608642304339,2.1242250077406357,2.109761190761186,39.13162729967155,41.98831397719672,10.537663512676188,11.86711041324516,-8.81821877958162,-10.077335285041764,-8.466605152276292,-20.660392404634745
8,4,0.6510519548806005,0.6359780728037461,2.1889893699771505,2.0730148092840155,39.46270165530356,42.07440515108233,10.587479979967034,10.767793706659461,-8.892251508465401,-8.805605356693036,-8.219906714416592,-23.383809752996612
8,4,0.6408087430121805,0.676345552044303,2.150439267022728,2.0609828733681446,39.31961184903236,42.164007992502206,11.152409510601348,10.570998271025028,-8.843863258519098,-9.03960931230125,-8.314789663259385,-22.77361814767799
8,4,0.6551610808679202,0.6408065321520424,2.157222011406253,2.0098594563893153,39.684484544464894,41.86025000240836,10.30215234146219,12.36603296130637,-8.965874774214255,-7.616442432773538,-8.3966289879744,-22.805253420834795
8,4,0.6094708515573024,0.6451104561587172,2.1522202423491317,1.9940697638562288,39.63406497011952,41.879390874698124,10.260295006905068,10.850632976609385,-8.9343241746328,-9.675770540619094,-8.3023111192648,-22.026689415546354
8,4,0.6350036949841965,0.6232251019882857,2.067777886220321,2.074750068167586,39.1439979566754,41.73722771101102,10.744139466441872,11.296528369724342,-8.905305969823635,-10.02491612474659,-8.248244543894625,-22.100428996899662
8,4,0.636240245039705,0.6415275661075202,2.1935784993089382,2.049997172126336,39.824245540295706,42.167173444227366,10.744045314059434,11.292287660724773,-8.896871526988763,-9.86259226965088,-8.211129480002885,-22.741778292652604
8,4,0.6251464798592267,0.624993968711844,2.162579215281896,2.0958792233667496,39.835911543188175,42.186749895629255,10.795983244447836,11.649065376523712,-8.903609711995385,-8.445615579265183,-8.26447754482646,-23.958797266866092
8,4,0.6584442186611456,0.6365353801331775,2.150405366348351,2.0911942063351137,39.40805848806922,42.13470324231196,10.595430504189157,10.281435900336216,-9.084920022565584,-8.862337006236025,-8.287592315983051,-24.870409171781862
8,4,0.6699905041374022,0.6562283348423478,2.1496668683465687,2.0650621715250614,39.786994962342085,42.61055079243129,10.948425467604718,10.892078166492091,-8.823922362107595,-9.276164395433495,-8.261948802467026,-22.351142323514278
8,4,0.630375943471183,0.6340040892333932,2.148513627940025,2.062341309914133,39.318729606054895,42.67632221059079,10.361697055590653,11.057290566553462,-8.864770486047714,-9.623719860715985,-8.363459870434935,-24.386222373954816
8,4,0.6450407333271156,0.6599983826059147,2.1561322326399277,2.010000679289075,39.4698770456668,41.130569994105066,10.609157619076957,10.86311397269627,-8.88323312199981,-10.200650081800195,-8.387488850462333,-22.775210741029976
8,4,0.6487354095749257,0.6629864477685753,2.1887241259247787,2.001205341975254,39.778056603611574,42.379934397823405,10.669927291266491,11.347841203735673,-8.877779894914951,-9.501972932936805,-8.323406319052745,-22.181159058298544
8,4,0.6272609623505339,0.6435458591623274,2.1258187320430264,1.9882169201141884,39.72430771231705,42.072887887571945,10.747347321103334,11.274496455321671,-8.912586125397157,-8.338605571570575,-8.414429128990891,-21.6855609778783
8,4,0.646865551704279,0.6385546069617015,2.1339432558094247,2.005966962525941,39.1250161479409,42.27302046040513,10.967798227373587,10.052976916928937,-8.920521733045641,-9.65242370737818,-8.285877112704602,-24.109109019332728
8,4,0.6120496178207998,0.5992136254202689,2.1431372981074848,2.1144907348794333,39.112510832951806,42.53814087330005,10.919994572328958,12.173193481346155,-8.853648772482446,-7.974405167022137,-8.331491357337567,-22.40442065321244
8,4,0.6426194776108233,0.6562309541227562,2.1259076700361605,2.1037510469772065,39.410028312307965,42.16529497017248,10.955393159415804,10.91061067374007,-8.822255742334661,-8.918020481006671,-8.340252098403164,-21.47245755382581
8,4,0.6107704639588313,0.6156318754335282,2.164223379237864,2.0834202780392124,39.46054767289568,42.060563755913876,10.448695251568923,10.09166944906434,-8.8988996332498,-9.385209135892197,-8.254280605919522,-21.78265560010743
8,4,0.6414783654758152,0.625728710983553,2.1701145380810503,2.030218259671013,39.36324192439998,42.09246380751036,10.578183676629235,10.868255727776656,-8.837056723359263,-7.730357161497578,-8.320294176010751,-21.730381601643085
8,4,0.6226046843327055,0.5958672880461494,2.1059406912750487,2.047199107416879,39.60474797439599,41.365629218000244,10.824312904130728,10.049145944354182,-8.991788493957223,-9.41450910105992,-8.382073288302385,-20.763385514256264
8,4,0.6295734939283862,0.6679160317640187,2.1640187368194685,2.0642823118016254,39.46892457040543,42.52120487800786,10.913608684691095,10.455875505578547,-8.973714057433547,-8.376544313351525,-8.315034331852917,-23.40659019332939
8,4,0.6049920235925687,0.6956679888993899,2.1810845757370454,2.1089401657150595,39.49342762570374,41.90231734919057,11.002389008654356,10.582895772230705,-8.745449148586713,-11.7839499638697,-8.390217168873383,-22.588468032761178
8,4,0.6342465835369923,0.6301541318215699,2.193873406412322,2.0135717755148894,39.54187114058131,42.09377230206187,10.63749806442401,10.515712346432492,-8.923637848256865,-9.857952335487418,-8.314976069069528,-22.815208012972267
